이름,삼진%,볼넷%,삼/볼,피안타율,피출루율,피장타율,피OPS,WHIP,BABIP,LOB%,ERA,RA9-ERA,FIP,kFIP,WAR
소사,23.8,3.7,6.46,0.267,0.296,0.397,0.693,1.21,0.333,69.9,3.52,6.6,3.5,3.14,7.4
윌슨,21.6,5.1,4.26,0.247,0.291,0.344,0.636,1.14,0.305,74.1,3.07,7.32,3.63,3.45,6.24
린드블럼,23.1,5.6,4.13,0.226,0.278,0.361,0.64,1.07,0.276,79.7,2.88,7.91,4.02,3.81,5.45
브리검,21.1,6.0,3.5,0.249,0.312,0.37,0.682,1.2,0.301,72.9,3.84,7.15,4.36,4.23,5.16
샘슨,27.7,11.2,2.47,0.234,0.325,0.363,0.687,1.38,0.313,67.1,4.68,4.29,4.35,4.02,4.9
양현종,19.7,5.6,3.53,0.278,0.32,0.413,0.732,1.31,0.327,72.7,4.15,6.07,4.38,4.29,4.75
니퍼트,21.6,5.1,4.23,0.296,0.339,0.465,0.803,1.41,0.352,76.6,4.25,5.22,4.66,4.45,4.57
켈리,23.9,7.0,3.43,0.25,0.315,0.395,0.71,1.26,0.309,71.7,4.09,5.13,4.4,4.14,4.53
김광현,23.5,5.4,4.33,0.242,0.286,0.374,0.66,1.14,0.294,81.0,2.98,6.18,4.16,3.91,4.34
레일리,23.0,7.0,3.3,0.263,0.328,0.429,0.757,1.31,0.316,66.8,4.74,4.25,4.78,4.57,4.22
고영표,21.6,4.0,5.36,0.308,0.349,0.459,0.808,1.41,0.374,64.7,5.2,2.81,4.31,4.05,4.02
최원태,17.5,6.1,2.89,0.275,0.332,0.375,0.706,1.33,0.325,71.6,3.95,4.57,4.13,4.14,3.92
아델만,18.1,7.1,2.54,0.296,0.355,0.444,0.799,1.5,0.343,69.5,5.05,4.24,4.89,4.9,3.7
헥터,18.2,4.8,3.81,0.298,0.334,0.449,0.784,1.41,0.339,68.7,4.6,3.98,4.78,4.72,3.67
후랭코프,21.6,8.9,2.44,0.22,0.317,0.323,0.639,1.16,0.27,73.5,3.74,6.04,4.61,4.55,3.65
이재학,17.6,7.4,2.37,0.266,0.33,0.384,0.714,1.35,0.309,65.2,4.79,3.81,4.54,4.58,3.4
박종훈,18.9,7.7,2.46,0.254,0.332,0.391,0.723,1.33,0.298,72.0,4.18,5.1,4.86,4.86,3.39
이용찬,16.8,5.9,2.83,0.274,0.323,0.397,0.72,1.3,0.309,75.8,3.62,5.9,4.56,4.6,3.3
피어밴드,19.9,5.4,3.71,0.286,0.33,0.442,0.772,1.37,0.332,71.3,4.3,4.04,4.83,4.71,3.23
왕웨이중,17.6,6.5,2.7,0.299,0.346,0.432,0.778,1.48,0.345,67.9,4.26,3.59,4.62,4.63,3.2
보니야,20.1,8.4,2.4,0.29,0.36,0.459,0.82,1.52,0.343,66.6,5.3,2.85,5.14,5.08,2.9
문승원,18.6,5.6,3.3,0.296,0.339,0.475,0.815,1.44,0.336,72.0,4.6,3.53,5.1,5.06,2.7
산체스,19.6,6.2,3.18,0.277,0.33,0.457,0.787,1.38,0.312,68.6,4.89,3.9,5.38,5.31,2.63
베렛,20.6,8.5,2.44,0.289,0.355,0.463,0.818,1.53,0.337,71.6,5.28,3.14,5.3,5.23,2.63
듀브론트,17.3,9.9,1.76,0.299,0.374,0.432,0.806,1.63,0.348,70.2,4.92,3.19,4.98,5.09,2.49
로저스,18.8,4.6,4.06,0.278,0.321,0.391,0.711,1.27,0.328,69.9,3.8,2.69,4.12,4.05,2.43
임찬규,18.4,6.9,2.66,0.321,0.379,0.491,0.87,1.65,0.37,67.8,5.77,2.15,5.37,5.34,2.33
손승락,24.0,8.0,3.0,0.235,0.298,0.305,0.604,1.27,0.313,66.1,3.9,2.21,2.86,2.54,2.28
함덕주,25.6,12.6,2.03,0.233,0.341,0.325,0.667,1.42,0.318,81.4,2.96,4.49,4.07,3.84,2.19
휠러,20.5,7.4,2.76,0.312,0.377,0.439,0.816,1.59,0.379,70.9,5.13,2.09,4.79,4.67,2.16
최충연,29.4,7.6,3.88,0.233,0.295,0.355,0.65,1.16,0.324,72.4,3.6,3.22,3.33,2.86,2.13
백정현,18.3,6.7,2.75,0.287,0.338,0.459,0.797,1.42,0.327,72.5,4.58,3.37,5.05,5.05,2.05
노경은,16.3,5.5,2.97,0.251,0.298,0.417,0.715,1.19,0.272,70.7,4.08,4.16,5.0,5.09,1.97
김태훈,23.6,9.1,2.58,0.251,0.323,0.368,0.691,1.32,0.319,71.4,3.83,2.06,4.05,3.84,1.87
한현희,13.9,6.5,2.14,0.307,0.369,0.476,0.844,1.52,0.335,72.7,4.79,4.23,5.51,5.72,1.74
