ÀÌ¸§,Å¸À²,Ãâ·ç,ÀåÅ¸,ops,wOBA,wRC+
ÁÖÈ¿»ó,0.211,0.279,0.271,0.549,0.255,36.433
±èÁ¾´ö,0.500,0.500,0.500,1.000,0.460,174.6
¼­°ÇÃ¢,0.325,0.397,0.433,0.83,0.375,115.214
Àå¿µ¼®,0.208,0.3,0.348,0.648,0.296,65.296
±è¹Î¼º,0.274,0.345,0.407,0.752,0.337,92.745
±èÇý¼º,0.243,0.297,0.349,0.646,0.289,59.467
¼Û¼º¹®,0.289,0.352,0.405,0.758,0.338,92.667
±èÇÏ¼º,0.284,0.36,0.482,0.841,0.366,109.467
ÀÓº´¿í,0.257,0.313,0.416,0.729,0.32,79.64
ÀÌÅÃ±Ù,0.301,0.377,0.437,0.813,0.367,114.429
±è±Ô¹Î,0.276,0.342,0.357,0.699,0.32,79.833
»÷Áî,0.314,0.355,0.767,1.122,0.445,171.5
ÀÌÁ¤ÈÄ,0.345,0.406,0.457,0.863,0.384,122.267
°íÁ¾¿í,0.301,0.336,0.436,0.772,0.342,93.54
